male,race,age,famous
1,2,3,0
1,1,3.08,0
1,1,4.83,0
0,3,4.08,0
0,1,2.42,0
0,1,2.92,0
0,1,4.33,0
1,1,4.08,0
1,1,4.75,0
1,1,3.92,1
0,1,2,0
1,1,3.08,0
1,1,2.67,0
1,1,3.5,0
1,1,4.75,0
0,1,2,0
1,1,3.5,0
1,2,1.75,0
0,1,3.17,0
1,1,4.08,0
0,1,3.17,0
1,1,3.25,0
0,1,2.08,0
0,2,2.17,0
0,6,4,0
0,3,1.92,0
0,1,3.58,0
1,2,1.92,0
1,1,4.17,0
1,1,2.92,0
1,1,4,1
0,1,3.17,0
1,1,3,0
0,1,1.92,0
1,1,3.17,0
0,1,3.17,0
1,1,2.17,0
0,1,2.17,0
1,1,4.17,0
1,2,2.67,0
0,1,4.75,0
1,1,2.5,0
1,1,3.67,0
1,1,3.42,0
1,1,2.67,0
1,1,4.08,0
0,6,2.08,1
0,1,3.08,0
0,5,2,0
0,5,2.92,0
1,1,3.58,0
1,1,3.83,0
1,1,5,0
0,1,2.92,0
1,1,1.83,0
0,1,3.17,0
1,1,4.08,0
1,1,3.92,0
1,1,3.25,0
0,1,2.75,1
0,1,3.92,0
1,1,3.33,0
0,1,1.42,0
1,1,3.75,0
1,1,3.42,0
0,1,2.33,0
0,1,2.83,0
1,1,4.75,0
1,1,3.67,0
0,2,2.92,0
1,1,1.5,0
1,1,3.67,0
0,2,2.58,0
1,1,3.75,0
1,1,1.92,0
1,1,4,0
0,1,1.75,0
0,1,2.42,0
1,1,3.92,0
1,1,3.42,0
1,1,2.83,0
0,1,5,0
0,1,4.75,0
1,1,1.92,0
1,1,1.92,0
0,1,4.08,0
1,1,2.92,0
1,1,3,1
1,1,3.42,0
1,5,2.33,0
1,1,2,0
0,1,2.92,0
0,1,2.08,0
0,1,1.83,0
0,5,2.5,0
1,1,2.17,0
1,1,3.92,1
0,1,2.75,0
1,2,2.17,0
1,3,1.83,0
0,1,2.58,0
1,1,2.83,0
0,1,2.83,0
1,1,4,0
1,1,3.33,0
0,1,2.25,0
1,1,4.58,0
1,1,2,0
1,1,2,0
1,1,2.92,0
1,1,4.08,0
0,1,3.75,0
0,1,1.92,1
1,1,3.25,0
1,1,3.42,0
1,1,3.33,0
0,1,2.5,0
1,1,4,0
0,1,2.58,0
0,1,4,0
0,5,2.25,0
1,1,1.75,0
1,2,1.67,0
0,5,2.17,0
1,1,2.08,0
1,1,4.25,0
0,1,2.58,1
0,2,4.58,0
0,1,5,0
1,1,4.08,1
1,1,2.58,1
0,1,3,0
0,1,2.17,0
0,2,2.92,0
0,1,3,0
1,1,3.17,0
0,1,2.25,0
1,2,1.42,0
0,1,3.33,0
1,1,2.08,1
1,2,2.5,0
1,1,1.67,0
1,1,3.33,0
0,1,2.17,0
1,1,2.08,0
1,1,3.33,0
1,1,3,0
0,1,2.75,0
1,1,5,0
1,1,3.58,0
1,1,4.75,0
1,1,4.17,0
0,1,2.5,1
0,4,2.75,0
0,1,3.33,0
1,2,2.08,0
1,1,3.17,0
1,1,3.42,0
1,1,2.83,0
0,1,3.17,0
0,1,4.83,0
0,1,3.08,0
0,1,4,0
1,1,3.5,0
0,1,4.42,0
0,1,2.83,0
1,1,3.25,0
1,1,3.08,0
1,1,3.25,0
0,2,1.92,0
1,1,4.17,0
0,1,3.83,0
0,1,2.08,1
0,1,2.33,0
1,1,4.08,1
1,1,2.92,0
0,1,2.67,0
0,1,2.17,0
1,2,2.17,0
1,1,2.67,0
1,2,2.17,0
1,1,2.33,0
1,1,3.92,0
0,1,3.17,0
0,1,5,0
0,1,2,0
1,2,3.42,0
1,6,4.75,0
1,1,4.17,0
1,1,1.92,0
0,1,3.83,0
0,1,4.67,0
1,1,2.92,0
1,1,4.08,0
1,2,3.42,0
0,1,3.75,0
1,1,3.5,0
1,1,4.42,0
1,2,3.17,0
1,1,4.92,0
1,1,3.08,0
1,1,3.75,0
0,5,2.92,0
1,1,4.33,0
1,1,2.75,0
1,1,3,0
0,1,4.67,0
1,1,1.83,0
1,1,3.17,0
0,1,3,0
1,1,4.92,0
1,1,4.83,0
1,1,4.08,0
1,2,2.25,0
0,1,2.83,0
0,1,2.5,0
1,1,4.75,0
1,1,3.42,0
1,1,4.08,0
0,1,3.92,0
1,2,2.25,0
0,1,4.33,0
0,2,2.67,0
1,1,3.5,0
1,2,3.17,0
1,1,2.83,0
0,1,2.67,0
0,1,2.58,0
0,1,1.33,0
1,1,4.83,0
1,1,3.33,0
1,1,4.67,0
0,1,3.42,0
0,1,1.92,0
1,1,3,0
1,1,4,0
0,1,4.58,2
1,2,3.92,0
1,3,3.25,0
1,1,4.25,0
1,1,2.08,0
1,1,2.17,0
0,1,3.75,0
1,5,3.58,0
1,1,2.83,0
1,1,2.25,0
1,1,3.17,0
1,1,4.17,0
0,3,2.08,0
1,1,3.25,0
1,1,3.5,1
0,1,2.17,0
1,1,4.08,0
1,2,2.17,0
1,2,2.25,0
0,1,3.17,0
1,1,3.08,0
1,2,3.17,0
1,1,4.42,0
1,1,2,0
0,1,2.5,0
1,2,4,0
1,1,3.33,0
0,1,2.83,0
0,1,2,0
1,1,2.92,1
0,1,2,0
1,1,2.08,1
1,1,1.83,0
1,1,3.33,0
1,1,3.42,0
0,1,3.58,0
1,1,2.75,0
0,1,3,0
1,1,4.33,0
0,2,3.42,0
0,1,2.83,0
0,6,2.08,0
0,6,2.5,0
0,1,4,0
0,1,2.5,1
1,1,3.42,0
1,1,3.83,0
0,1,3.75,0
1,3,2.25,0
1,5,1.75,0
0,1,2.92,0
1,1,5,0
1,1,4.17,0
0,1,3,0
0,1,4.83,0
0,5,2.17,0
1,2,4.08,0
1,1,2.92,0
0,1,3.33,0
1,1,4.83,0
1,1,1.92,0
0,1,4.75,0
1,1,2,0
1,1,3.08,0
0,5,3.33,0
0,1,3.67,0
0,1,4.33,0
1,1,4.83,0
0,1,4.33,0
0,1,3.5,0
1,1,3.25,0
1,1,3.83,0
1,1,2.58,0
0,1,3.33,0
1,1,3.75,0
1,1,2.5,0
1,1,4.67,0
1,1,3.33,0
0,1,4.5,0
1,1,3,0
0,5,3,0
1,1,2.08,0
0,1,4.33,0
0,1,2.17,0
0,1,3.08,0
0,1,3.33,0
1,1,3.75,0
0,1,3.92,0
1,1,2.25,1
1,1,4,1
0,1,1.83,0
0,1,2.42,0
1,1,2.75,0
0,1,4,0
0,1,2.25,0
0,3,1.67,0
1,1,3.42,0
1,1,3.67,0
0,1,2.17,0
1,1,4.67,0
0,1,2.58,0
0,1,3.5,0
1,1,2.25,0
0,1,4,0
1,1,2,0
0,1,2,0
0,3,1.83,0
0,1,2.67,0
0,1,1.75,1
1,1,2.67,0
1,1,2.08,1
1,1,2,1
1,1,3.25,1
1,1,3.58,0
1,2,2.17,0
0,1,4,0
0,1,4.17,0
1,5,3,0
1,1,3.5,0
0,1,1.83,0
0,1,3.33,0
1,2,4.33,0
1,2,2.17,0
1,2,3,0
1,5,2.58,0
1,1,2.75,0
1,1,3.83,0
1,1,3.17,0
0,2,2,0
0,1,2.08,0
0,1,2.17,0
0,1,1.67,0
1,1,3.92,0
1,1,3.83,0
1,1,2.17,0
1,2,2,0
1,1,4.33,1
1,1,4.17,0
1,1,4.08,0
1,1,4.25,0
1,1,3,0
0,1,2.25,1
0,1,2.33,0
0,2,2.58,0
1,1,2.42,0
0,1,3.08,0
0,1,2.5,0
1,1,2,0
0,1,1.33,0
1,1,4,0
1,1,2.5,0
0,1,3.17,0
1,1,2,1
0,1,3.17,0
1,1,3.42,0
1,5,3,0
1,1,3.08,0
0,1,2.75,0
1,1,1.25,0
1,1,2.5,1
1,2,2.83,0
1,1,1.33,0
1,3,3.17,0
1,1,2.92,0
0,3,2,0
1,1,3.92,0
1,3,3.75,0
1,1,3.25,0
0,5,2.92,0
1,1,2.92,0
0,1,3.17,0
1,1,1.92,0
0,1,2.25,0
0,1,2,0
0,3,1.75,0
1,1,3.92,0
0,2,3.67,0
0,1,2.17,0
1,1,4.67,0
0,1,3.83,0
1,1,3,0
1,1,3.42,0
1,1,4.17,0
1,1,2.67,0
0,1,4.67,0
0,5,2.83,0
0,5,1.92,0
1,1,4.92,0
0,1,1.92,1
1,1,4.67,0
0,1,2.08,0
0,1,3.75,0
1,1,1.58,0
0,1,3.33,0
0,1,3.67,0
1,1,2.83,1
1,2,4.25,0
1,1,3.5,2
0,1,3.5,0
0,2,3.25,0
0,1,4.25,0
0,1,3.5,0
1,5,2.75,0
1,2,2.5,0
0,1,2.08,1
0,1,2.17,0
0,1,3.42,0
1,1,3.58,0
0,1,3.17,0
1,5,2.58,0
1,1,4,0
1,1,3.58,0
1,2,2.75,0
1,1,2.83,0
0,1,3.33,0
1,1,2.5,0
0,1,3.33,0
1,1,1.25,0
0,1,3.42,0
1,1,4.75,0
1,1,3,0
1,1,4,0
1,1,2.25,0
1,1,4,0
1,1,3.08,0
1,1,4.92,0
1,5,2.17,0
0,1,3.58,0
1,2,3.08,1
1,1,3,0
1,2,4.08,0
0,1,2,0
1,1,3.5,0
0,1,2.67,0
0,1,1.83,0
0,1,3.25,0
1,1,3.5,0
1,1,3.5,0
1,1,2.42,0
0,1,3.58,0
0,1,2.92,0
0,1,2.25,0
0,1,3.83,0
1,1,1.42,0
1,1,2.58,0
0,1,2.17,0
1,1,3.42,0
0,1,2.92,0
1,1,2.42,0
0,1,2.67,0
1,1,2.33,0
0,1,4.67,0
0,1,1.75,0
0,1,3.17,0
0,1,2.5,0
1,1,2.67,0
0,1,3,0
0,1,2,0
1,1,1.5,0
1,1,2,0
1,1,3.25,0
1,2,2,0
1,1,3.42,0
0,1,5,0
1,2,2.08,0
1,1,2.75,0
1,1,3.25,0
0,5,2.17,0
0,1,2.67,0
0,1,2.92,0
1,6,3.58,0
0,1,2.58,0
1,6,2.33,0
1,1,4.17,0
1,1,5,0
0,1,4.17,0
1,1,2.75,0
0,2,2.17,0
0,1,2.5,0
0,1,2.17,0
1,1,3.25,0
1,1,3,0
1,1,4.17,0
1,1,2.67,0
0,1,3.75,0
1,1,3.83,0
0,1,4.42,0
0,3,2.42,0
0,3,2.42,0
1,1,3.08,0
0,1,3.67,0
0,1,2.08,0
0,1,4.17,0
1,1,2.33,0
0,1,2.25,1
1,1,4.58,0
1,1,4.42,0
0,1,1.67,0
1,1,2.67,0
0,1,3.08,0
1,1,3.25,0
1,1,3.08,0
0,2,1.5,0
1,1,2.42,0
1,1,3.42,0
1,2,1.25,0
1,1,4.75,0
1,1,2.83,0
0,1,3,0
1,1,4.25,0
1,1,3.33,0
1,1,4.33,0
1,1,5,0
1,2,3,0
1,1,3,0
1,1,4,0
0,1,2,0
1,1,3.92,0
1,1,4.5,0
0,1,1.5,0
1,2,4.08,0
1,1,3.5,0
0,1,3.58,0
0,1,2.33,0
1,1,3.25,0
0,1,2.25,0
1,1,3.08,0
1,1,2.92,0
0,1,3.42,0
0,1,3.58,0
0,1,3.5,0
0,3,1.67,0
0,1,2,0
1,6,2.58,0
1,1,1.17,0
1,1,2.92,0
0,1,2.75,0
0,3,3.83,0
1,1,2,0
1,1,4.83,0
1,2,2.33,0
1,1,2.25,0
0,1,1.67,0
1,1,4.08,0
1,1,2.17,0
1,1,2.83,0
1,1,4,0
0,1,3.33,0
1,1,1.75,0
0,1,4.75,0
1,1,3.25,0
1,1,NaN,0
0,1,2.67,0
0,1,3.08,0
1,1,5,0
0,1,3.17,0
1,1,2.5,0
1,1,4.67,1
0,5,2.92,0
1,1,2.42,0
1,1,3.17,0
0,1,1.83,0
1,1,2.83,0
0,1,4,0
0,1,3.58,0
1,1,3.92,0
1,1,1.83,0
1,5,2.33,0
1,1,3.17,0
1,1,3.83,0
0,1,2.17,0
0,1,2.92,0
0,1,4.33,0
1,5,1.33,0
1,1,2.83,0
1,1,3.08,0
0,1,2.67,0
0,1,2.17,0
1,1,1.75,0
0,1,3.75,0
0,1,2.5,0
0,1,4.08,0
1,2,2.92,0
0,1,3.5,0
1,2,1.5,0
0,3,2.58,0
0,1,3.27,0
0,1,1.75,0
1,1,3.58,0
0,2,3,0
1,1,4.67,0
0,1,3.08,0
1,1,2.17,0
0,3,3.08,0
0,1,3.67,0
1,1,3.25,0
0,1,1.67,0
0,3,2,0
1,1,4.08,0
1,1,3.08,0
0,1,3.58,0
1,3,1.5,0
0,2,2.58,0
0,1,4,0
1,5,2.42,0
0,1,2.58,0
0,1,2.67,0
1,1,5,0
1,1,3.25,0
1,1,NaN,0
1,1,2.42,0
1,1,3.33,0
0,1,4,0
0,1,4.08,0
1,2,2.25,0
1,2,2.17,0
1,5,2.08,0
1,1,4.42,0
1,5,1.83,1
0,1,1.92,0
0,1,5,0
0,1,4.25,0
1,1,3.75,0
1,1,2.33,0
0,1,4.92,0
0,1,2.25,0
1,1,4,0
0,1,2.75,0
1,1,1.75,0
1,1,2.25,0
0,1,3.5,0
0,1,2.42,0
1,1,4,0
1,1,4.08,0
1,1,2.17,0
1,1,2.17,1
0,3,1.83,0
0,1,4.58,0
1,6,3.92,0
1,1,4.25,0
0,1,4.08,0
1,1,2.25,0
1,1,4.42,1
1,5,2.33,0
1,1,4.25,0
1,1,4.33,0
0,1,3.58,0
1,1,1.92,0
0,2,1.42,0
1,1,2.17,0
0,1,2.5,0
1,1,2.33,1
0,2,4.83,0
1,2,3.83,0
1,6,2.67,0
0,1,4.42,0
0,1,3.08,2
0,1,2.75,0
1,1,4.75,1
1,1,2.25,0
1,1,2,0
1,1,3.92,0
0,1,2.25,0
1,1,4.75,0
1,1,2.92,0
0,1,3.33,0
0,1,3.33,0
1,1,2.83,0
0,1,3.25,0
0,1,3,0
1,1,3.92,0
1,1,3.92,0
0,1,2.5,0
1,1,3.67,0
0,1,3.67,0
0,1,3.67,0
0,1,2.58,0
1,1,4,0
0,1,2.67,0
1,1,3,1
0,1,3.5,0
0,5,3,0
0,2,2.17,0
1,1,4.25,0
1,1,2.17,0
1,1,3.92,0
0,1,3.83,0
1,1,4.17,0
1,1,4.5,0
0,1,2.42,1
1,1,3.08,0
0,1,2.67,0
1,1,3.08,0
0,3,2.92,0
1,1,4.67,0
1,1,4,0
0,1,4.92,0
0,1,3,0
1,1,5,0
0,1,2.83,0
1,1,4.25,0
0,1,2.5,0
1,1,1.08,0
0,1,4.33,0
1,2,3.42,0
0,1,1.75,0
1,1,3.67,1
1,1,4,0
1,6,2,0
1,1,4.83,0
0,6,3.08,0
0,1,1.92,0
1,1,3.25,0
1,1,4.92,0
0,2,2.42,1
1,1,1.42,0
1,1,4,1
1,1,1.92,0
0,2,4.17,0
0,3,2.08,0
1,1,2.92,0
1,1,4.25,0
0,2,3.08,0
1,1,4.33,0
1,1,2.5,0
1,5,3.5,0
1,2,3.58,0
0,1,2.83,0
1,1,4.25,0
0,1,2.5,0
1,2,4.92,0
1,1,2.25,0
1,1,3.67,0
1,1,4.83,0
1,1,2.75,0
1,1,4.08,0
1,1,4.92,0
1,1,4.08,1
1,1,4,0
1,2,2,0
0,2,1.92,0
1,1,4.92,0
0,1,3.17,0
1,1,4.08,0
1,1,NaN,0
1,1,3.08,1
1,1,2.33,0
1,1,4.25,0
0,1,2.08,0
1,1,3.08,0
1,1,3.17,0
0,2,1.92,0
0,1,2.25,0
1,5,2.17,0
1,1,3,0
1,1,3.42,1
0,2,2.58,0
1,2,3,0
1,1,2.67,0
1,1,3.58,0
1,1,2.92,0
1,1,3.33,0
1,1,3.08,1
1,1,4,0
0,1,5,0
0,2,2,0
0,1,2.75,0
0,1,3.25,0
1,1,3.33,0
0,1,2.08,0
1,1,4.17,0
1,1,3.25,0
0,3,1.5,0
0,1,3.92,0
0,1,2.33,0
1,1,2.33,0
1,1,2.83,1
0,1,5,0
0,1,3,0
1,1,5,0
0,1,2.17,0
1,1,3.67,0
1,2,3.08,0
0,1,5,0
0,1,2.67,0
1,1,3.92,0
0,2,1.92,0
1,1,3.33,0
1,1,3.33,0
1,1,2.08,0
1,1,3.67,0
0,1,3.17,0
1,1,3,0
1,1,4.33,0
1,1,2.58,0
0,1,3.67,0
1,1,4.08,1
0,2,3.42,0
1,1,2.67,0
1,1,4.08,0
1,1,3.08,0
1,1,3.42,0
1,1,4,0
0,2,1.58,0
0,1,2,1
1,1,2.75,0
1,1,3.75,0
1,1,4.42,0
1,1,4,0
1,1,3.5,0
1,1,4.5,0
0,1,2.75,0
1,1,2.67,0
1,3,1.92,0
0,1,2.08,0
0,1,2,0
0,1,2.33,0
1,1,4.08,0
0,1,2.67,0
1,1,4.25,2
0,1,3.42,0
1,1,4.08,0
1,1,2.75,0
0,3,1.5,0
1,3,2.58,0
0,1,2.08,0
1,1,2.92,0
1,2,3.08,0
1,1,3.75,0
0,1,2.92,0
1,1,3.25,0
1,2,2,0
1,1,2.42,0
0,1,3.33,0
0,5,3.75,0
0,3,2.25,0
0,1,2.5,0
1,1,3.08,0
1,2,1.92,0
0,2,3.5,0
1,5,4.25,2
1,1,1.5,0
0,1,4.25,0
1,5,2.42,0
1,1,3.08,0
1,1,2.67,0
1,2,2.42,0
0,1,1.67,0
1,1,2.58,0
1,1,4.67,0
1,3,1.92,0
0,1,2.08,0
1,1,3.58,0
1,1,4.83,1
1,1,4.92,0
0,1,1.83,0
0,1,2.83,0
1,1,4.58,0
1,3,2.42,0
0,1,3,0
1,1,3.67,0
0,1,2.92,0
1,1,2.67,0
1,1,2.58,0
1,1,2.33,0
0,1,2.08,0
1,1,2.17,0
1,1,4.92,0
0,2,2.83,0
1,1,4,0
0,3,2.08,0
1,1,3.25,0
1,1,4.75,2
1,1,3.58,0
0,1,2.58,0
1,1,2,0
0,1,3.08,0
0,1,2.92,0
0,1,2.17,0
1,1,2.42,0
1,1,3.08,1
0,1,3,0
0,1,2.42,0
0,1,2.67,0
0,1,3.67,0
1,1,4.75,0
0,2,2.58,0
0,1,1.42,0
0,1,2.67,1
1,1,3.17,0
1,1,1.67,0
1,2,3.92,0
0,1,2.58,0
1,1,3.5,0
0,1,3.5,0
1,1,2.92,0
0,1,1.92,0
0,1,3.58,0
0,1,3.25,0
1,1,1.5,0
1,1,4.42,0
1,1,3.5,0
1,1,5,1
0,1,2.08,1
1,1,2.5,0
0,2,1.75,0
1,1,3.33,0
0,1,3.83,0
0,1,3.17,0
1,1,2.67,1
1,1,1.75,0
1,2,2.5,0
1,1,1.92,0
0,1,2.08,0
0,1,1.42,0
1,1,2.5,0
0,1,2.08,0
1,5,2.92,0
0,1,3.25,0
0,1,3.58,0
1,1,4.67,0
1,1,2.75,0
0,2,2,0
1,1,4.17,0
1,5,3.75,0
0,1,2,0
0,1,3.08,0
1,1,2.75,0
0,1,2.25,0
1,1,1.83,0
1,1,3.08,0
0,1,1.42,0
0,1,3,0
1,1,2.67,0
0,1,3.08,0
1,1,3.25,0
1,1,3,0
0,1,4,0
1,1,2.25,0
1,1,3.83,0
0,1,2.08,0
1,1,3.83,0
1,1,4.92,0
1,1,3.08,0
0,2,3.92,0
1,1,3.58,0
0,1,2.83,0
1,1,4.08,0
0,1,2.67,0
1,1,1.42,0
0,1,1.75,0
1,1,2.17,0
0,1,2.83,0
0,1,3.25,0
1,1,2.58,0
0,1,1.83,0
1,1,4.58,0
0,3,1.75,0
0,1,2,2
1,1,4.33,0
0,1,3.58,0
0,2,3.75,0
0,1,3.5,0
0,1,4.75,2
0,1,1.92,0
1,1,2,0
1,1,3.58,0
1,2,2.42,0
1,1,4.92,0
1,1,2.92,0
1,1,2.08,0
1,1,4.17,0
0,1,3.92,0
1,1,2.5,0
1,1,2.17,0
1,1,4.58,0
0,1,2.83,0
1,1,4.25,0
1,1,4.33,0
1,1,4.17,0
0,2,3,0
0,2,3.58,0
0,1,1.92,0
1,1,3.17,0
0,1,3.67,0
0,1,2.75,0
0,1,3.17,1
0,1,1.92,0
0,1,2.5,0
1,1,2.92,0
1,1,2.83,0
1,1,2.17,0
0,1,2.67,0
1,1,2.75,0
1,2,2.83,0
0,1,2.83,0
1,1,4.83,0
0,1,4.25,0
0,1,3.58,0
0,1,1.5,0
1,1,2,0
0,1,1.92,0
1,5,1.5,0
1,1,2,0
0,6,2.33,0
0,1,1.67,0
1,2,2.33,0
1,1,2.5,0
1,1,2.08,0
1,1,2.33,0
0,1,1.75,1
0,1,2.83,0
1,1,4.58,0
0,1,3.08,0
1,1,1.5,0
1,1,4.92,0
1,1,2.83,0
0,2,2.25,0
0,1,2.25,1
1,2,3.92,0
0,1,1.92,0
1,1,3.25,0
0,1,3.25,0
0,1,4.5,0
1,2,1.42,0
1,5,2,0
0,1,2.83,0
1,1,2.08,0
1,1,3.5,0
0,1,4,0
0,1,3.08,0
0,2,2.92,0
1,1,2.75,0
1,1,2.92,0
0,1,1.92,0
0,1,2.75,0
1,1,3.5,0
0,1,2.42,0
1,1,3.75,0
1,1,2.75,0
1,1,2.5,0
1,5,3,0
1,1,2.67,0
0,1,3.25,0
0,1,2.25,0
0,1,2.67,0
1,1,2.17,0
0,1,4.17,0
1,1,4.33,0
1,1,2.5,0
1,1,2.58,0
1,1,4.42,0
0,1,2.92,0
1,1,4.5,0
0,1,3.42,0
0,1,2.25,0
1,1,2.17,0
1,1,3.5,0
1,1,3,0
0,1,3.25,0
0,1,4.25,0
1,1,3.58,0
1,1,3.25,0
1,2,2.75,0
0,1,2.33,0
0,1,3.42,0
0,1,2.08,0
1,1,3.08,0
0,5,3.33,0
0,1,3,0
1,1,3.33,0
1,1,2.42,0
0,1,2.75,0
1,1,4.17,1
1,1,2.25,0
1,1,4.17,0
1,1,5,0
1,1,2.33,0
0,1,2.42,0
0,1,2.17,0
0,1,2.67,0
1,1,3.33,0
1,1,2.92,0
0,1,2.5,0
1,1,2.25,0
1,2,2,0
1,1,5,0
1,2,3.5,0
1,1,4,0
1,1,2.5,0
0,1,3.75,0
1,1,3.58,0
0,1,2.17,0
0,1,1.83,0
1,1,2.5,0
0,1,2.08,0
0,1,3.42,0
1,1,3,0
1,1,3.25,0
1,1,4.58,0
1,1,4.08,0
1,1,4.5,0
1,1,1.33,0
1,1,3.25,0
0,1,4.67,0
0,5,2.42,0
1,1,2.08,1
0,2,3.92,0
1,2,2.92,1
1,3,3.83,1
1,1,4.92,0
0,2,1.83,0
0,1,3,1
0,1,3.08,0
1,5,1.58,0
0,1,4.25,0
0,1,1.92,0
0,1,1.58,0
0,1,3.25,0
1,1,4.83,0
1,1,2.67,0
1,1,2.58,0
1,1,3,0
0,1,2.17,1
0,1,2.83,0
0,1,1.83,0
1,1,1.75,0
1,1,2.67,0
1,1,3.08,0
1,2,3.83,0
0,1,2.92,0
0,1,3.25,0
0,1,2.67,0
1,1,4,0
1,1,2.92,1
0,1,2.08,0
0,1,1.5,1
1,1,3.5,0
1,1,3.25,0
0,1,3.5,0
0,1,3.33,0
1,1,4.83,0
1,3,2.08,0
1,2,3.33,0
1,1,2.92,0
1,1,1.83,0
0,1,3.25,0
1,1,2.42,0
0,5,2.25,0
0,1,3.08,0
1,1,4.33,0
1,4,1.67,0
1,3,3.5,0
1,1,2.08,1
1,1,4.58,0
1,1,3.25,0
1,1,1.67,0
0,1,1.67,0
0,1,3.5,0
1,1,4.25,0
1,1,3.75,1
1,1,3.17,1
0,1,3.17,0
1,1,4.75,0
1,1,3.25,0
1,1,4.75,0
1,1,4.5,0
0,1,3.08,0
0,1,2,0
1,1,4.25,0
1,1,3.17,0
1,1,2.17,0
0,1,2.08,0
1,1,2.08,0
1,1,5,0
1,1,4.08,0
1,2,1.75,0
1,1,4.67,1
1,1,3.42,0
1,6,2.75,0
0,1,4.75,0
1,1,3.17,0
0,1,2,0
0,1,2.75,0
1,2,2.5,0
0,2,2.83,0
0,1,2.5,1
1,2,2.33,0
1,1,1.83,0
0,1,3.42,0
1,1,4.67,0
0,1,2.08,0
1,1,3.5,0
0,1,3.17,0
0,1,3.08,0
1,1,3.42,0
1,1,3.08,0
0,1,3.42,0
1,1,2.17,0
0,1,2.75,0
1,1,3.33,0
1,1,3,0
1,1,2.42,0
0,5,2.42,0
0,1,1.58,0
1,1,4.08,0
0,1,3.25,0
0,1,2.83,0
0,1,2.17,1
1,5,2.67,0
0,1,3.5,0
0,1,2.25,0
1,1,3,0
0,4,4,0
0,1,1.92,0
1,1,2.92,0
0,1,4,0
1,1,3.33,0
1,1,4.25,0
0,1,3.33,0
1,1,1.83,0
1,1,2,0
0,1,2.17,0
1,1,4,0
0,1,4.08,0
1,1,2.17,0
1,1,1.5,0
0,1,3.25,0
1,2,3.58,0
1,1,2.67,0
1,1,4.25,0
1,1,1.5,0
0,1,3.25,0
1,1,3.42,0
1,1,3.42,0
0,1,1.92,0
1,1,4.17,0
0,5,3.33,0
1,1,4.42,1
0,1,2.08,0
1,1,2.83,0
1,1,2.08,0
0,1,2.75,0
0,1,4.5,0
1,1,3.83,0
1,5,3.58,0
1,1,3.58,0
0,1,2,0
0,1,3.75,0
1,1,2.08,0
1,1,4,0
1,1,2.83,0
0,1,2.08,0
1,1,2.42,0
1,1,4.17,0
0,1,2.92,0
0,1,3.67,1
1,1,2.58,0
